epoch,train_loss,val_loss,val_r2_log10,lr,sec
1,0.37023421463327133,0.3544597443128597,-1.65402889251709e-05,0.0002,902.4380626678467
2,0.34198911742887633,0.32866398912633776,0.077112577855587,0.0004,940.5334389209747
3,0.3145715921793295,0.3111179558872488,0.15204957127571106,0.0006,930.3088538646698
4,0.2967174096275931,0.29541083903326465,0.18260638415813446,0.0008,927.3840367794037
5,0.2874772020008253,0.28130100374621464,0.22287476062774658,0.001,929.6350116729736
6,0.2789332354846208,0.27424182635166744,0.23721063137054443,0.0009045084971874737,933.0189127922058
7,0.26757472490054973,0.25937416047030104,0.2773817479610443,0.0006545084971874737,936.3504679203033
8,0.25602341765078945,0.2501561562449946,0.323609322309494,0.00034549150281252633,930.7800197601318
9,0.2450269346219906,0.23526803012183636,0.3499692976474762,9.549150281252633e-05,935.6676721572876
10,0.23744227559022282,0.23189991480008715,0.361871600151062,0.0,928.9359958171844
